"Productnaam";"Interne referentie";"EAN";"Productgroep";"Beschrijving";"Nieuwe afbeeldingen";"Bestaande afbeeldingen";"Aantal artikelen in verpakking";"Aantal artikelen in verpakking Eenheid";"Aantal flessen";"Aantal lichtpunten";"Aantal stuks in verpakking";"Aantal stuks in verpakking Eenheid";"Afwateringsgat";"App vereist voor volledige functionaliteit";"Bediening verlichting";"Breekbaar";"CE Markering Document";"CE markering";"Diameter";"Diameter Eenheid";"Doelgroep";"Elektronisch adres fabrikant";"Energielabel document";"Fabrikant Adres";"Fabrikant Naam";"Fitting";"Fotoformaat breedte";"Fotoformaat breedte Eenheid";"Fotoformaat lengte";"Fotoformaat lengte Eenheid";"Funkussen";"Geschikt voor soort flessen";"Geschikt voor type deur";"IP waarde";"Inclusief lichtbron";"Informatie datagebruik document";"Inhoud van set";"Kan zelfstandig met internet verbinden";"Kleur";"Lichtbron verwijderbaar";"Magnetronbestendig";"Materiaal";"Materiaal onderstel";"Materiaal vulling";"Materiaal zitting";"Merk";"Met dimfunctie";"Ondersteuning met updates";"Ovenbestendig";"Product breedte";"Product breedte Eenheid";"Product hoogte";"Product hoogte Eenheid";"Product lengte";"Product lengte Eenheid";"Productinformatieblad document";"Producttaal";"Soort kaars";"Soort plantenbak";"Speciaal voor kinderen";"Taal handleiding";"Type Eetkamerstoel";"Type beeld of figuur";"Type dienblad";"Type dieren";"Type fotolijst";"Type hordeur";"Type kapstok";"Type kussen";"Type onderzetter";"Type opberger";"Type plaid";"Type raamfolie";"Type schoenverzorging";"Type serveerschaal";"Type tuinmeubelkussen";"Type tuinscherm";"Type tuinstoelkussen";"Type wijnafsluiter";"Vaatwasser veilig";"Verkrijgt of genereert dan wel verzamelt data";"Verpakkingstaal";"Verstelmogelijkheden";"Voedingstype";"Volume in liters";"Volume in liters Eenheid";"Voor binnen of buiten";"Vorm";"Vriezerbestendig";"Waarde energielabel";"Wasbaar";"Wattage per lichtpunt";"Wattage per lichtpunt Eenheid";"Wegwerp";"Woonthema";"eWaste";"Aansluitspanning";"Aansluitspanning Eenheid";"Aantal branduren";"Aantal branduren Eenheid";"Aantal consumenteneenheden (CE)";"Aantal delen";"Aantal foto's";"Aantal haken";"Aantal kussens";"Aantal lagen";"Aantal meegeleverde accu's/batterijen";"Aantal onderdelen";"Aantal vakken";"Accuduur";"Afknipbaar";"Afneembare hoes";"Anti-allergie";"Anti-slip";"App werkt op besturingssyteem";"BPA-vrij";"Bediening via mobiele app";"Betaalde diensten vereist";"Bluetooth vereist";"Breedte binnenkant";"Breedte binnenkant Eenheid";"Breedte lampenkap";"Breedte lampenkap Eenheid";"Compatibel met";"Country";"Delen van gebruikersgegevens vereist";"Diameter lampenkap";"Diameter lampenkap Eenheid";"Diepte";"Diepte Eenheid";"Diepte binnenkant";"Diepte binnenkant Eenheid";"Dikte";"Dikte Eenheid";"Draaibaar";"Dubbelwandig";"Dubbelzijdig";"Ergonomisch";"Erotisch product";"Fabrieksgarantie termijn";"Fan Merchandise";"Feestgelegenheid";"Fotomaat";"Game merchandise thema";"Geschikt als bijzettafel";"Geschikt om op te zitten";"Geschikt voor Camper- of Caravan";"Geschikt voor aantal kaarsen";"Geschikt voor aantal pennen";"Geschikt voor aantal personen";"Geschikt voor boot";"Geschikt voor breedte balkonrailing";"Geschikt voor breedte balkonrailing Eenheid";"Geschikt voor kinderkamer";"Geschikt voor leeftijd baby";"Geschikt voor materiaal";"Geschikt voor ruimte";"Geschikt voor wasdroger";"Gestoffeerd";"Geurnaam";"Geursoort";"Gewatteerde zitting";"Glow in the dark";"Grootte honden/kattenras";"Handbeschilderd";"Handgemaakt";"Handleiding";"Hittebestendig";"Hoogte armleuning";"Hoogte armleuning Eenheid";"In elkaar te stapelen";"Inclusief Passe-partout";"Inclusief armleuning";"Inclusief binnenkussen";"Inclusief deksel";"Inclusief hanger(s)";"Inclusief houder";"Inclusief opbergruimte";"Inclusief poten";"Inclusief steel";"Inclusief waterreservoir";"Inclusief wielen";"Ingeweven motief";"Inhoud";"Inhoud Eenheid";"Inklapbaar";"Inlusief bevestigingshaken";"Introductiejaar";"Introductiemaand";"Kapstokopties";"Kledingmaat";"Kleur licht";"Kleurtemperatuur";"Kleurtemperatuur Eenheid";"Levensduur lichtbronnen";"Levensduur lichtbronnen Eenheid";"Luchtdicht";"Lumen per lichtpunt";"Lumen per lichtpunt Eenheid";"MPN (Manufacturer Part Number)";"Maat";"Magnetisch";"Materiaal deksel";"Materiaal handgreep / handgrepen";"Materiaal onderkant";"Materiaal tijk";"Max. belastbaar gewicht";"Max. belastbaar gewicht Eenheid";"Merchandise van artiest";"Met bevestigingskoord";"Met clipsluiting";"Met handgreep / handgrepen";"Met klimrek";"Met lampenkap";"Met stand";"Met verlichting";"Met verstelbare leesarm";"Met wielen";"Meubelafwerking";"Mobiele data verbinding mogelijk";"Navulbaar";"Ondersteunt Matter";"Ongediertebestrijding";"Ophangbaar";"Ophangwijze";"Orthopedisch";"Patroon";"Personage";"Product diepte";"Product diepte Eenheid";"Product gewicht";"Product gewicht Eenheid";"Profielbreedte lijst";"Profielbreedte lijst Eenheid";"Reparatie type";"Seizoenscollectie";"Seizoensjaar";"Sluiting";"Smart Home Platform";"Snoer met stekker aan het product";"Snoerlengte";"Snoerlengte Eenheid";"Soort model";"Speciaal geschikt voor babykamer";"Speciaal geschikt voor barbecue";"Speciaal voor puppies";"Sportteam";"Stapelbaar";"Steellengte";"Steellengte Eenheid";"Stevigheid kussen";"Stijl";"Stoelen stapelbaar";"TOG-waarde";"Thema";"Thema kerstbal";"Type afwerking";"Type beker";"Type bevestiging";"Type bevestiging";"Type bewaarsysteem";"Type deksel";"Type deurmat";"Type ergonomisch kussen";"Type lamp";"Type lichtbron meegeleverd";"Type merchandise";"Type muursticker";"Type onderstel";"Type onderstel meubel";"Type polig";"Type slaper";"Type staande lamp";"Type vloerkleed";"Type wijnkoeler";"Type zitkussen";"Uitzonderingen fabrieksgarantie";"Van gerecycled materiaal";"Vergrendelbare deksel";"Verkoelende werking";"Verpakking breedte";"Verpakking breedte Eenheid";"Verpakking hoogte";"Verpakking hoogte Eenheid";"Verpakking lengte";"Verpakking lengte Eenheid";"Verpakkingsgewicht";"Verpakkingsgewicht Eenheid";"Verpakkingsinhoud";"Verstelbaar";"Vorstbestendig";"Vulgewicht";"Wasbare tijk of vulling";"Wasvoorschrift";"Waterafstotend";"Waterdichtheid";"Wifi vereist";"Zitdiepte";"Zitdiepte Eenheid";"Zithoogte";"Zithoogte Eenheid"
Dierenmand M tibetan lamb off white 65x50x20cm;8716522110005;8716522110005;Dierenmand;Dierenmand M tibetan lamb off white 65x50x20cm;;;;;;;;;;;;;;;0;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;;;;;Gebroken wit;;;Polyester;;Polyester;;Mars & More;;;;50;cm;20;cm;65;cm;;;;;;;;;;"Hond;Kat";;;;;;;;;;;;;;;;;;;;;;;Rechthoek;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;0;kg;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;1;;;;;Niet wassen;N;;;;;;
Dierenmand XL tibetan lamb off white 100x70x22cm;8716522110029;8716522110029;Dierenmand;Dierenmand XL tibetan lamb off white 100x70x22cm;;;;;;;;;;;;;;;0;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;;;;;Gebroken wit;;;Polyester;;Polyester;;Mars & More;;;;70;cm;22;cm;100;cm;;;;;;;;;;"Hond;Kat";;;;;;;;;;;;;;;;;;;;;;;Rechthoek;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;XL;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;0;kg;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;1;;;;;Niet wassen;N;;;;;;
geurkaars white jasmine h9 d8;8716522094657;8716522094657;Kaars;geurkaars white jasmine h9 d8;;;;;;;1;stuk(s);;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;;;;;0;;;Wax;;;;Mars & More;;;;8;cm;9;cm;;;;;Geurkaars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Voor binnen;Cilinder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;jasmine;Bloemig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;cm;15;cm;25;cm;0;kg;1;;;;;;;;;;;;
geurkaars white jasmine h12 d12;8716522094664;8716522094664;Kaars;geurkaars white jasmine h12 d12;;;;;;;1;stuk(s);;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;;;;;0;;;Wax;;;;Mars & More;;;;11.80;cm;11.90;cm;;;;;Geurkaars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Voor binnen;Cilinder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;jasmine;Bloemig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;cm;20;cm;25;cm;0;kg;1;;;;;;;;;;;;
geurkaars oudh bergamot h9 d8;8716522094688;8716522094688;Kaars;geurkaars oudh bergamot h9 d8;;;;;;;1;stuk(s);;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;;;;;Transparant;;;Wax;;;;Mars & More;;;;8;cm;9;cm;;;;;Geurkaars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cilinder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oudh bergamot;Houtachtig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;geurkaars;;;;;;;;;;;;
geurkaars oudh bergamot h12 d12;8716522094695;8716522094695;Kaars;geurkaars oudh bergamot h12 d12;;;;;;;1;stuk(s);;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;;;;;Transparant;;;Wax;;;;Mars & More;;;;12;cm;12;cm;;;;;Geurkaars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Voor binnen;Cilinder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oudh bergamot;Houtachtig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;;;;;;;;;;;;;
Bellen Goud Aan Touw 4;8716522053128;8716522053128;Plantenbak;Een mooie wanddecoratie van goudkleurige bellen aan een touw.;;;;;;;1;stuk(s);;;;;;;0;cm;;;;;;;;;;;;;;;;;;;Bruin;;;Metaal;;;;Mars & More;;;;;;9;cm;85;cm;;;;Bloempot;;;;;;;;;;;;;;;;;;;;;;N;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;N;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;mm;0;mm;0;mm;0;kg;Wanddecoratie van goudkleurige bellen aan een touw;;;;;;;;;;;;
Wijnstopper teckel 11cm;8716522060409;8716522060409;Wijnrek;Wijnstopper teckel 11cm;;;1;stuk(s);1;;;;;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;1 liter flessen;;;;;;;Zilver;;;Staal;;;;Mars & More;;;;5;cm;11;cm;5;cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dier;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;nvt;;;;;;;;;;;;;;;;;;;;;;;;N;;;Overig;;;;0.13;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nvt;;;;8.30;cm;4.30;cm;12;cm;0.10;kg;1;;;;;;;;;;;;
Wijnstopper steenbok 16cm;8716522089516;8716522089516;Wijnrek;Wijnstopper steenbok 16cm;;;1;stuk(s);1;;;;;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;1 liter flessen;;;;;;;Zilver;;;Aluminium;;;;Mars & More;;;;5;cm;16.50;cm;6.50;cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Overig;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;1 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;N;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;N;;;Overig;;;;0;g;;;Carry-in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;breuk;;;;15;cm;15;cm;20;cm;0;kg;1;;;;;;;;;;;;
wijnkoeler hert champagne goud large 42X48X30cm;8716522092028;8716522092028;Wijnrek;wijnkoeler hert champagne goud large 42X48X30cm;;;1;stuk(s);;;;;;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;Champagneflessen;;;;;;;Goud;;;Aluminium;;;;Mars & More;;;;48;cm;30;cm;48;cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Overig;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;1 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;GNWKHGL;;;;;;;;;;;;;;;;;;;;;;;;N;;;Overig;;;;0.00;kg;;;Carry-in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;breuk;;;;50;cm;35;cm;50;cm;0.00;kg;1 x wijnkoeler hert champagne goud large;;;;;;;;;;;;
