"Productnaam";"Interne referentie";"EAN";"Productgroep";"Beschrijving";"Nieuwe afbeeldingen";"Bestaande afbeeldingen";"Aantal artikelen in verpakking";"Aantal artikelen in verpakking Eenheid";"Aantal stuks in verpakking";"Aantal stuks in verpakking Eenheid";"Afwateringsgat";"Bediening verlichting";"CE Markering Document";"CE markering";"Diameter";"Diameter Eenheid";"Doelgroep";"E-mailadres of online contactformulier van de fabrikant";"Energielabel document";"Fabrikant Adres";"Fabrikant Naam";"Fotoformaat breedte";"Fotoformaat breedte Eenheid";"Fotoformaat lengte";"Fotoformaat lengte Eenheid";"Funkussen";"Geschikt voor type deur";"IP waarde";"Inclusief lichtbron";"Informatie datagebruik document";"Kleur";"Lichtbron verwijderbaar";"Materiaal";"Materiaal vulling";"Merk";"Met dimfunctie";"Ondersteuning met updates";"Product breedte";"Product breedte Eenheid";"Product hoogte";"Product hoogte Eenheid";"Product lengte";"Product lengte Eenheid";"Productinformatieblad document";"Producttaal";"Soort kaars";"Soort plantenbak";"Speciaal voor kinderen";"Taal handleiding";"Type fotolijst";"Type hordeur";"Type onderzetter";"Type plaid";"Type raamfolie";"Type schoenverzorging";"Type tafellaken";"Type tuinscherm";"Verkrijgt of genereert dan wel verzamelt data";"Verpakkingstaal";"Voedingstype";"Voor binnen of buiten";"Vorm";"Waarde energielabel";"Wasbaar";"Wattage per lichtpunt";"Wattage per lichtpunt Eenheid";"Wegwerp";"Woonthema";"Aansluitspanning";"Aansluitspanning Eenheid";"Aantal branduren";"Aantal branduren Eenheid";"Aantal foto's";"Aantal lichtpunten";"Aantal meegeleverde accu's/batterijen";"Aantal onderdelen";"Aantal vakken";"Aanvullende garanties";"Accuduur";"Aftersales Service(s)";"Anti-allergie";"Anti-slip";"BPA-vrij";"Bediening via mobiele app";"Bluetooth";"Breedte lampenkap";"Breedte lampenkap Eenheid";"Breekbaar";"Commercieel duurzaamheidsgarantie document";"Country";"Diameter lampenkap";"Diameter lampenkap Eenheid";"Dikte";"Dikte Eenheid";"Draaibaar";"Ergonomisch";"Fabrieksgarantie termijn";"Fan Merchandise";"Feestgelegenheid";"Fitting";"Fotomaat";"Game merchandise thema";"Geintegreerde USB poort";"Geschikt als bijzettafel";"Geschikt om op te zitten";"Geschikt voor Camper- of Caravan";"Geschikt voor aantal kaarsen";"Geschikt voor aantal pennen";"Geschikt voor aantal personen";"Geschikt voor boot";"Geschikt voor breedte balkonrailing";"Geschikt voor breedte balkonrailing Eenheid";"Geschikt voor leeftijd baby";"Geschikt voor materiaal";"Geschikt voor ruimte";"Geschikt voor wasdroger";"Gestoffeerd";"Geurnaam";"Geursoort";"Glow in the dark";"Handleiding";"Hittebestendig";"Inclusief Passe-partout";"Inclusief binnenkussen";"Inclusief houder";"Inclusief opbergruimte";"Inclusief poten";"Inclusief waterreservoir";"Ingeweven motief";"Inhoud";"Inhoud Eenheid";"Inklapbaar";"Inlusief bevestigingshaken";"Kledingmaat";"Kleur licht";"Kleurtemperatuur";"Kleurtemperatuur Eenheid";"Levensduur lichtbronnen";"Levensduur lichtbronnen Eenheid";"Lumen per lichtpunt";"Lumen per lichtpunt Eenheid";"MPN (Manufacturer Part Number)";"Magnetisch";"Magnetronbestendig";"Materiaal onderkant";"Materiaal tijk";"Merchandise van artiest";"Met draadloos oplaadstation";"Met klimrek";"Met lampenkap";"Met wielen";"Meubelafwerking";"Navulbaar";"Ongediertebestrijding";"Ophangbaar";"Ophangwijze";"Patroon";"Personage";"Personage van toepassing";"Product diepte";"Product diepte Eenheid";"Product gewicht";"Product gewicht Eenheid";"Profielbreedte lijst";"Profielbreedte lijst Eenheid";"Reparatie type";"Reparatiescore";"Seizoenscollectie";"Seizoensjaar";"Sluiting";"Smart Home Platform";"Snoer met stekker aan het product";"Snoerlengte";"Snoerlengte Eenheid";"Soort model";"Speciaal geschikt voor babykamer";"Speciaal geschikt voor barbecue";"Sportteam";"Stevigheid kussen";"Stijl";"Thema";"Type beker";"Type bevestiging";"Type bevestiging";"Type deurmat";"Type ergonomisch kussen";"Type keukendoek";"Type kussen";"Type lichtbron meegeleverd";"Type merchandise";"Type muursticker";"Type onderstel meubel";"Type slaper";"Uitzonderingen fabrieksgarantie";"Vaatwasser veilig";"Verkoelende werking";"Verpakking breedte";"Verpakking breedte Eenheid";"Verpakking hoogte";"Verpakking hoogte Eenheid";"Verpakking lengte";"Verpakking lengte Eenheid";"Verpakkingsgewicht";"Verpakkingsgewicht Eenheid";"Verpakkingsinhoud";"Verstelbaar";"Verstelmogelijkheden";"Vorstbestendig";"Vulgewicht";"Wasbare tijk of vulling";"Wasvoorschrift";"Waterafstotend";"eWaste"
geurkaars white jasmine h12 d12;8716522094664;8716522094664;Kaars;<h3>Mars & More Geurkaars White Jasmine</h3> <p>Genieten van een verfijnde jasmijngeur met deze prachtige geurkaars van Mars & More. Gemaakt van natuurlijk wax, perfect voor het creëren van een rustgevende atmosfeer in elke ruimte.</p> <ul> <li>Materiaal: Natuurlijk wax</li> <li>Diameter: 12 cm</li> <li>Hoogte: 12 cm</li> <li>Geur: White Jasmine</li> <li>Gewicht: 1,5 kg</li> <li>Artikelnummer: WNGKWJ1000</li> </ul>;;;;;1;stuk(s);;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;0;;Wax;;Mars & More;;;11.80;cm;11.90;cm;;;;;Geurkaars;;;;;;;;;;;;;;;Voor binnen;Cilinder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;jasmine;Bloemig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;cm;20;cm;25;cm;0;kg;1;;;;;;;;
geurkaars oudh bergamot h6 d4,5;8716522094671;8716522094671;Kaars;<h3>Mars & More Geurkaars Oudh Bergamot</h3> <p>Geniet van een verfijnde aromatische ervaring met deze handige geurkaars in de populaire Oudh Bergamot-geur. De kaars is gemaakt van natuurlijke wax en creëert een warme, gezellige sfeer in elke ruimte.</p> <ul> <li>Afmetingen: 4,5 x 4,5 x 6 cm</li> <li>Materiaal: Natural Wax</li> <li>Gewicht: 135 gram</li> <li>Artikelnummer: WNGKOB80</li> <li>Perfecte grootte voor slaapkamer, woonkamer of badkamer</li> <li>Geurprofiel: Oudh & Bergamot</li> </ul>;;;;;1;stuk(s);;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;0;;"Glas;Was";;Mars & More;;;4.50;cm;6;cm;;;;;Geurkaars;;;;;;;;;;;;;;;;Cilinder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oudh bergamot;Houtachtig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;;;;;;;;;
geurkaars oudh bergamot h9 d8;8716522094688;8716522094688;Kaars;<h3>Mars & More Geurkaars Oudh Bergamot – Natural Wax</h3> <p>Geniet van de warme, exotische geur van oudh en bergamot met deze prachtige geurkaars van Mars & More. Gemaakt van natuurlijk wax en verkrijgbaar in een elegante transparante uitvoering.</p> <ul> <li>Geurcombinatie: Oudh en Bergamot</li> <li>Materiaal: Natural Wax</li> <li>Afmetingen: 8 × 8 × 9 cm</li> <li>Gewicht: 540g</li> <li>Kleur: Transparant</li> <li>Artikelnummer: WNGKOB210</li> </ul>;;;;;1;stuk(s);;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Transparant;;Wax;;Mars & More;;;8;cm;9;cm;;;;;Geurkaars;;;;;;;;;;;;;;;;Cilinder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oudh bergamot;Houtachtig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;geurkaars;;;;;;;;
geurkaars oudh bergamot h12 d12;8716522094695;8716522094695;Kaars;<h3>Mars & More Geurkaars Oudh Bergamot</h3> <p>Geniet van de luxueuze geur van Oudh en Bergamot met deze prachtige Mars & More geurkaars. Gemaakt van 100% natuurlijke wax voor een pure en duurzame geurbelevenis.</p> <ul> <li>Samenstelling: Natural Wax</li> <li>Afmetingen: 11,8 x 11,8 x 11,9 cm</li> <li>Gewicht: 1,545 kg</li> <li>Kleur: Transparant</li> <li>Geurprofiel: Oudh & Bergamot</li> <li>Artikelnummer: WNGKOB1000</li> </ul>;;;;;1;stuk(s);;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Transparant;;Wax;;Mars & More;;;12;cm;12;cm;;;;;Geurkaars;;;;;;;;;;;;;;;Voor binnen;Cilinder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oudh bergamot;Houtachtig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;;;;;;;;;
Bellen Goud Aan Touw 4;8716522053128;8716522053128;Plantenbak;<h3>Bellen Goud aan Touw 4 – Mars & More</h3> <p>Voeg elegance toe aan je interieur met deze prachtige gouden bellen aan touw. Dit decoratieve stuk van Mars & More is gemaakt van hoogwaardig metaal en biedt een klassieke gouden afwerking die perfect aansluit bij verschillende inrichtingsstijlen.</p> <ul> <li>Kleur: Goud</li> <li>Materiaal: Metaal</li> <li>Lengte: 85 cm</li> <li>Afmetingen: 5x9x85 cm</li> <li>Gewicht: 300 gram</li> <li>Artikelnummer: CIBGT4</li> <li>EAN-code: 8716522053128</li> </ul>;;;;;1;stuk(s);N;;;;0;cm;;info@TICA.nl;;Randweg 155, 1422 ND Uithoorn;Tica;;;;;;;;;;Bruin;;Metaal;;Mars & More;;;;;9;cm;85;cm;;;;Bloempot;;;;;;;;;;;N;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;N;;;;;N;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;0.3;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;mm;0;mm;0;mm;0;kg;Wanddecoratie van goudkleurige bellen aan een touw;;;;;;;;
Wandkop Schaap off white S;8716522110227;8716522110227;Poef;<h3>Wandkop Schaap Off White S</h3> <p>Voeg warmte en speelsheid toe aan je interieur met deze charmante wandkop in schaapciform. De Wandkop Schaap off white S van Mars & More is een originele wanddecoratie die perfect past in elk huisje.</p> <ul> <li>Materiaal: Zacht polyester</li> <li>Kleur: Off white (wit)</li> <li>Afmetingen: 15 x 14 x 13,5 cm</li> <li>Gewicht: 402 gram</li> <li>Wasbaar op 30 graden</li> <li>Artikelnummer: QTWKSS15</li> </ul>;;;;;;;;;;;0;cm;Kinderen;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Wit;;Polyester;;Mars & More;;;15;cm;14;cm;13.50;cm;;;;;;Geen taal;;;;;;;;;;;;Voor binnen;Dieren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;N;;;;;;;;;;;;Y;;;;;;;;;Nee;;;;;;;;;;;;;;;;;;;;;;;;;;Geen speciale afwerking;;;;;Overig;;;13.50;cm;0.40;kg;;;;;Never out of stock;Carry Over;;;;;;;;;;;Landelijk;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;Wandkop Schaap off white S;;;;;;;;
Wandkop Schaap off white XL;8716522110241;8716522110241;Poef;<h3>Wandkop Schaap off white XL – Mars & More</h3> <p>Deze charmante schaap wandkop in off white is een leuk decoratief accessoire voor aan de wand. De XL maat maakt hem een opvallend element in je interieur, perfect voor een kinderkamer, babykamer of speelhoek.</p> <ul> <li>Materiaal: Polyester</li> <li>Kleur: Off white</li> <li>Afmetingen: 33 x 32 x 31,5 cm</li> <li>Gewicht: 1 kg</li> <li>Wasbaar op 30 graden</li> <li>Artikelnummer: QTWKSS33</li> </ul>;;;;;;;;;;;0;cm;Volwassenen;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Wit;;Polyester;;Mars & More;;;32;cm;33;cm;31.50;cm;;;;;;Geen taal;;;;;;;;;;;;Voor binnen;Dieren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;N;;;;;;;;;;;;Y;;;;;;;;;Nee;;;;;;;;;;;;;;;;;;;;;;;;;;Geen speciale afwerking;;;;;Overig;;;31.50;cm;1;kg;;;;;Never out of stock;Carry Over;;;;;;;;;;;Landelijk;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;Wandkop Schaap off white XL;;;;;;;;
Wandkop Alpaca off white XL;8716522110296;8716522110296;Poef;<h3>Wandkop Alpaca off white XL</h3> <p>Deze elegante wandkop van Mars & More voegt een gezellige touch toe aan je slaapkamer of woonkamer. Het zachte polyester materiaal en moderne off-white kleur maken dit stuk versatiel inzetbaar in ieder interieur.</p> <ul> <li>Afmetingen: 33 x 32 x 31,5 cm</li> <li>Materiaal: Polyester</li> <li>Kleur: Off white</li> <li>Gewicht: 1,013 kg</li> <li>Wasbaar op 30 graden</li> <li>Artikelnummer: QTWKAS33</li> </ul>;;;;;;;;;;;;;Kinderen;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Wit;;Polyester;;Mars & More;;;32;cm;31.50;cm;33;cm;;;;;;Geen taal;;;;;;;;;;;;Voor binnen;Dieren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;N;;;;;;;;;;;;N;;;;;;;;;Nee;;;;;;;;;;;;;;;;;;;;;;;;;;Geen speciale afwerking;;;;;Overig;;;;;;;;;;;Never out of stock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;Wandkop Alpaca;;;;;;;;
Linen&More Tafelkleed Indi Grey 140x250 cm Grijs;8717266342011;8717266342011;Tafellaken;Dek de tafel met dit Indi Grey tafelkleed van Linen&More. Dankzij het grijze tafelkleed blijft de tafel mooi schoon. Ook is hettafelkleed zelf goed schoon te houden, hij is gemaakt van katoen en gemakkelijk uit te wassen. Afmeting: 140 x 250 cm.;;;1;paar;;;;;;;140;cm;;info@b-living.eu;;Linen & More;Maison d'Abri®;;;;;;;;;;Grijs;;Katoen;;Linen&More;;;20;cm;;;40;cm;;;;;N;;;;;;;;Tafelkleed;;;;;Indoor;Rechthoek;;Y;;;N;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;1 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;8717266342011;;;;;;;;;;;;;;;Effen;;;;;;;;;;;;;;;;;;;;;;;;All season;;;;;;;;;;;;;Nvt;;;20;cm;2;cm;40;cm;0.00;kg;1 stuk;;;;;;30 °C, normaal programma;;
Linen & More   Keukendoeken   Theedoeken   Dutch Check   Set/3   Blauw/Wit   50x70cm;8717266373091;8717266373091;Thee- en keukendoek;Mooie keuken-/thee doeken in je interieur zijn helemaal hip. Leg ze neer, of hang ze op in je keuken en je hebt een echte eyecatcher.<br />De doeken zijn 50/70 cm. Gemaakt van 100% katoen.;;;3;stuk(s);;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;Maison d'Abri®;;;;;;;;;;"Blauw;Wit";;Katoen;;Linen & More;;;50;cm;;;70;cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geblokt;;;;;0.23;kg;;;;;;;;;;;;;;;;;;;;;;;;Theedoek;;;;;;;;;;230;mm;23;mm;230;mm;0.23;kg;1 set van 3 doeken;;;;;;40 °C, normaal programma;;
